;CO_CURSO;DS_TURNO_ALUNO;DS_COR_RAÇA_ALUNO;IN_SEXO_ALUNO;NU_ANO_ALUNO_NASC;NU_MES_ALUNO_NASC;NU_DIA_ALUNO_NASC;CO_NACIONALIDADE_ALUNO;IN_DEF_AUDITIVA;IN_DEF_FISICA;IN_DEF_SUPERDOTACAO;DS_ALUNO_SITUACAO;IN_RESERVA_VAGAS;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_FINANC_ESTUDANTIL;IN_APOIO_SOCIAL;CO_TIPO_ESCOLA_ENS_MEDIO;ANO_INGRESSO
57;12317;Noturno;;1;1976;12;20;1;;;;Matrícula trancada;0;;;;;;0;0;2007
58;12317;Noturno;;0;1984;11;8;1;;;;Cursando;0;;;;;;0;0;2013
59;12317;Noturno;;0;1983;11;3;1;;;;Cursando;0;;;;;;0;0;2013
60;12317;Noturno;;0;1967;6;29;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2016
61;12317;Matutino;;1;1990;10;11;1;;;;Cursando;0;;;;;;0;0;2015
62;12317;Noturno;;0;1988;12;16;1;;;;Matrícula trancada;1;1.0;0.0;1.0;1.0;;0;1;2015
63;12317;Noturno;;0;1984;11;30;1;;;;Matrícula trancada;0;;;;;;0;0;2008
64;12317;Noturno;;0;1991;3;19;1;;;;Formado;0;;;;;;0;0;2011
65;12317;Matutino;;0;1978;2;1;1;;;;Cursando;0;;;;;;0;0;2008
66;12317;Noturno;;0;1979;5;6;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2013
67;12317;Matutino;;0;1990;10;1;1;;;;Cursando;0;;;;;;0;0;2015
68;12317;Noturno;;0;1988;11;18;1;;;;Formado;0;;;;;;0;0;2008
69;12317;Noturno;;0;1986;4;23;1;;;;Desvinculado do curso;0;;;;;;0;0;2009
70;12317;Noturno;;0;1990;4;17;1;;;;Matrícula trancada;0;;;;;;0;0;2010
71;12317;Noturno;;0;1990;6;7;1;;;;Cursando;0;;;;;;0;0;2013
72;12317;Noturno;;1;1990;8;4;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;1;1;2016
73;12317;Noturno;;0;1989;4;19;1;;;;Cursando;0;;;;;;0;0;2014
74;12317;Noturno;;0;1988;11;20;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2015
75;12317;Noturno;;1;1989;7;14;1;;;;Cursando;0;;;;;;0;0;2015
76;12317;Noturno;;0;1991;2;6;1;;;;Cursando;0;;;;;;0;0;2015
77;12317;Noturno;;0;1990;8;25;1;;;;Desvinculado do curso;0;;;;;;0;0;2013
78;12317;Matutino;;1;1990;10;2;1;;;;Matrícula trancada;0;;;;;;0;0;2014
79;12317;Noturno;;1;1991;1;24;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
80;12317;Matutino;;0;1990;10;12;1;;;;Desvinculado do curso;0;;;;;;0;0;2008
81;12317;Noturno;;1;1990;7;4;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2015
82;12317;Noturno;;1;1973;10;29;1;;;;Formado;0;;;;;;0;0;2008
83;12317;Noturno;;0;1976;11;5;1;;;;Formado;0;;;;;;0;0;2008
84;12317;Matutino;;0;1986;3;18;1;;;;Cursando;0;;;;;;0;0;2013
85;12317;Matutino;;0;1992;4;14;1;;;;Cursando;0;;;;;;0;0;2016
86;12317;Matutino;;0;1982;3;30;1;;;;Cursando;0;;;;;;0;0;2009
87;12317;Matutino;;0;1983;7;21;1;;;;Cursando;0;;;;;;0;0;2009
88;12317;Noturno;;0;1991;8;12;1;;;;Cursando;0;;;;;;0;0;2013
89;12317;Matutino;;1;1990;12;28;1;;;;Cursando;0;;;;;;0;0;2011
90;12317;Noturno;;0;1990;6;10;1;;;;Cursando;0;;;;;;0;0;2012
91;12317;Matutino;;1;1990;11;6;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2014
92;12317;Noturno;;0;1987;10;22;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2014
93;12317;Noturno;;0;1990;5;28;1;;;;Cursando;0;;;;;;0;0;2012
94;12317;Noturno;;0;1987;9;3;1;;;;Cursando;0;;;;;;0;0;2009
95;12317;Matutino;;0;1991;4;12;1;;;;Cursando;0;;;;;;0;0;2016
96;12317;Noturno;;0;1990;1;26;1;;;;Cursando;0;;;;;;0;0;2014
97;12317;Matutino;;0;1992;8;3;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2014
98;12317;Matutino;;0;1991;8;3;1;;;;Cursando;0;;;;;;0;0;2016
99;12317;Noturno;;0;1991;2;5;1;;;;Cursando;0;;;;;;0;0;2012
100;12317;Matutino;;1;1991;2;10;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;0.0;;0;1;2016
101;12317;Matutino;;1;1991;7;21;1;;;;Cursando;0;;;;;;0;0;2014
102;12317;Noturno;;0;1991;4;22;1;;;;Cursando;0;;;;;;0;0;2012
103;12317;Noturno;;1;1990;12;27;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2015
104;12317;Noturno;;1;1991;4;15;1;;;;Cursando;0;;;;;;0;0;2016
105;12317;Noturno;;0;1991;5;30;1;;;;Cursando;0;;;;;;0;0;2014
106;12317;Noturno;;0;1990;8;24;1;;;;Formado;0;;;;;;0;0;2011
107;12317;Matutino;;0;1958;9;15;1;;;;Formado;0;;;;;;0;0;2009
108;12317;Noturno;;0;1966;7;2;1;;;;Matrícula trancada;1;1.0;0.0;1.0;0.0;;0;1;2014
109;12317;Matutino;;0;1969;7;24;1;;;;Formado;0;;;;;;0;0;2009
110;12317;Noturno;;0;1970;1;22;1;;;;Formado;0;;;;;;0;0;2009
111;12317;Noturno;;0;1977;8;4;1;;;;Cursando;0;;;;;;0;0;2013
112;12317;Noturno;;1;1976;5;30;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2013
113;12317;Noturno;;0;1967;3;29;1;;;;Cursando;0;;;;;;0;0;2014
114;12317;Noturno;;0;1975;7;14;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
115;12317;Noturno;;0;1973;8;18;1;;;;Desvinculado do curso;0;;;;;;0;0;2007
116;12317;Matutino;;1;1983;3;26;1;;;;Cursando;0;;;;;;0;0;2016
117;12317;Noturno;;0;1984;9;1;1;;;;Formado;0;;;;;;0;0;2009
118;12317;Matutino;;1;1985;11;19;1;;;;Matrícula trancada;0;;;;;;0;0;2015
119;12317;Matutino;;1;1985;11;17;1;;;;Formado;0;;;;;;0;0;2009
120;12317;Noturno;;0;1983;4;23;1;;;;Cursando;0;;;;;;0;0;2013
121;12317;Noturno;;1;1983;1;4;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2016
122;12317;Matutino;;0;1985;7;20;1;;;;Matrícula trancada;1;1.0;0.0;1.0;0.0;;0;1;2014
123;12317;Noturno;;0;1986;7;26;1;;;;Matrícula trancada;0;;;;;;0;0;2009
124;12317;Noturno;;1;1986;4;7;1;;;;Cursando;0;;;;;;0;0;2015
125;12317;Noturno;;0;1982;5;26;1;;;;Formado;0;;;;;;0;0;2011
126;12317;Noturno;;0;1985;7;6;1;;;;Cursando;0;;;;;;0;0;2014
127;12317;Noturno;;0;1981;8;21;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2013
128;12317;Noturno;;0;1982;1;21;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2015
129;12317;Noturno;;1;1979;5;26;1;;;;Cursando;0;;;;;;0;0;2016
